norm_iri;content;content_clean
dio~di101-0001~1;"<sco>
<sec>

<par>
<lno>Ista crucis forma uiuendi sit tibi norma</lno>
<lno>Hanc Hugo donauit et Chunradus fabricauit</lno>
</par>
</sec>
</sco>";Ista crucis forma uiuendi sit tibi norma Hanc Hugo donauit et Chunradus fabricauit
dio~di101-0002~1;"<sco>
    <sec>
      <par>
        <lno>M<appalpha id=""footnotes-appalpha-dio-di101-0002-o"">o</appalpha> ∙ CCC<appalpha id=""footnotes-appalpha-dio-di101-0002-o"">o</appalpha> ∙ III<appalpha id=""footnotes-appalpha-dio-di101-0002-o"">o</appalpha> ∙ IDVS ∙ FEB/R(VARII) ∙ MARQ(VARDVS) ∙ LAPIS ∙ O(BIIT)</lno>
      </par>
    </sec>
  </sco>";Mo ∙ CCCo ∙ IIIo ∙ IDVS ∙ FEB/R(VARII) ∙ MARQ(VARDVS) ∙ LAPIS ∙ O(BIIT)
dio~di101-0003~1;"<sco>
<sec>

<par>
<lno>Hie leit begraben Wernher der Ruestorffer der gestorben anno domini 1324 vnnd Gerburg Eckherin sein hausfrau anno domini 1331 an sant Pongratz tag. </lno>
</par>
</sec>
</sco>";Hie leit begraben Wernher der Ruestorffer der gestorben anno domini 1324 vnnd Gerburg Eckherin sein hausfrau anno domini 1331 an sant Pongratz tag.
dio~di101-0004~1;"<sco>
<sec>

<par>
<lno>anno d(omi)ni mcccxxx viiii [---]</lno>
</par>
</sec>
</sco>";anno d(omi)ni mcccxxx viiii [---]
dio~di101-0005~1;"<sco>
    <sec>
      <snr>I.</snr>
      <par>
        <lno>+ Hie leit begraben Katerei<appnum id=""footnotes-appnum-dio-di101-0005-""> </appnum>Wernheris des Ruesdorff hausfrau der gott gnad</lno>
      </par>
    </sec>
    <sec>
      <snr>II.</snr>
      <par>
        <lno>+ Nach Christi geburt dreiczechen hundert Jahr. vnd darnach in dem sechs vnd vierczigisten<appalpha id=""footnotes-appalpha-dio-di101-0005-a"">a)</appalpha> Jahr an Sant Poltn tag da starb Wernher Ruesdorff<appalpha id=""footnotes-appalpha-dio-di101-0005-b"">b)</appalpha></lno>
      </par>
    </sec>
  </sco>";I. + Hie leit begraben Katerei Wernheris des Ruesdorff hausfrau der gott gnad II. + Nach Christi geburt dreiczechen hundert Jahr. vnd darnach in dem sechs vnd vierczigistena) Jahr an Sant Poltn tag da starb Wernher Ruesdorffb)
dio~di101-0006~1;"<sco>
    <sec>
      <par>
        <lno>+ ANNO ∙ DOMINI ∙ MIL/LESIMO ∙ CCC ∙ X[---]I<appalpha id=""footnotes-appalpha-dio-di101-0006-a"">a)</appalpha> ∙ KALEND(AS) ∙ APRILIS ∙ O/BIIT ∙ DOMINVS ∙ / HAINRICUS ∙ UICARIVS [∙ H]UIVS<appalpha id=""footnotes-appalpha-dio-di101-0006-a"">a)</appalpha> ∙ LOCI ∙</lno>
      </par>
    </sec>
  </sco>";+ ANNO ∙ DOMINI ∙ MIL/LESIMO ∙ CCC ∙ X[---]Ia) ∙ KALEND(AS) ∙ APRILIS ∙ O/BIIT ∙ DOMINVS ∙ / HAINRICUS ∙ UICARIVS [∙ H]UIVSa) ∙ LOCI ∙
dio~di101-0007~1;"<sco>
    <sec>
      <par>
        <lno>Anno ∙ d(omi)ni ∙ M<appalpha id=""footnotes-appalpha-dio-di101-0007-o"">o</appalpha> ∙ ccc ∙ lx&lt;---&gt; / in die ∙ s(an)c(t)&lt;---&gt; / o(biit) ∙ Ioha(n)nes ∙ d(i)c(t)us ∙ Geis=/elperger ∙</lno>
      </par>
    </sec>
  </sco>";Anno ∙ d(omi)ni ∙ Mo ∙ ccc ∙ lx<---> / in die ∙ s(an)c(t)<---> / o(biit) ∙ Ioha(n)nes ∙ d(i)c(t)us ∙ Geis=/elperger ∙
dio~di101-0008~1;"<sco>
<sec>

<par>
<lno>Anno Domini MCCCLXVII in uigilia Sancti Thomae obiit frater Thomas dominus Weringer Cognatus Weringery de Patavia qui est fundator huius capellae ad Sanctum Spiritum</lno>
</par>
</sec>
</sco>";Anno Domini MCCCLXVII in uigilia Sancti Thomae obiit frater Thomas dominus Weringer Cognatus Weringery de Patavia qui est fundator huius capellae ad Sanctum Spiritum
dio~di101-0009~1;"<sco>
    <sec>
      <par>
        <lno>Anno Domini M CCC LXVIII. in die Sanctae Margretae obyt hainreich prand zu Rauzmanstorff<appalpha id=""footnotes-appalpha-dio-di101-0009-a"">a)</appalpha> und<appalpha id=""footnotes-appalpha-dio-di101-0009-b"">b)</appalpha> Anno<appalpha id=""footnotes-appalpha-dio-di101-0009-c"">c)</appalpha> M CCC LX obyt hainreich zu Rauzmanstorff<appalpha id=""footnotes-appalpha-dio-di101-0009-d"">d)</appalpha> plebanus</lno>
      </par>
    </sec>
  </sco>";Anno Domini M CCC LXVIII. in die Sanctae Margretae obyt hainreich prand zu Rauzmanstorffa) undb) Annoc) M CCC LX obyt hainreich zu Rauzmanstorffd) plebanus
dio~di101-0010~1;"<sco>
    <sec>
      <par>
        <lno>+ ∙ Anno ∙ d(omi)ni ∙ M<appalpha id=""footnotes-appalpha-dio-di101-0010-o"">o</appalpha> ∙ ccc ∙ l ∙ x/x<appalpha id=""footnotes-appalpha-dio-di101-0010-o"">o</appalpha> ∙ viij<appalpha id=""footnotes-appalpha-dio-di101-0010-o"">o</appalpha> ∙ xv ∙ k(a)l(endas) ∙ Julij ∙ o(biit) ∙ d(omi)n(u)s ∙ albertus ∙ abbas ∙ aspace(n)/sis ∙ ecc(lesi)e ∙ pie ∙ memor(i)e ∙ </lno>
      </par>
    </sec>
  </sco>";+ ∙ Anno ∙ d(omi)ni ∙ Mo ∙ ccc ∙ l ∙ x/xo ∙ viijo ∙ xv ∙ k(a)l(endas) ∙ Julij ∙ o(biit) ∙ d(omi)n(u)s ∙ albertus ∙ abbas ∙ aspace(n)/sis ∙ ecc(lesi)e ∙ pie ∙ memor(i)e ∙
